name,description,target_amount,minbudget,maxbudget,datedebut,datefin,progress,status,objectivetype,isStatic,completed
Appear short.,"So development late then. Southern first pass everything. Others although leave issue.
Option the wide fill make. Style lay including property enough kitchen. Something majority white court guy.",89413,44706,134119,2023-09-19,2024-04-23,44.959537883527254,Completed,REVENUE_GROWTH,False,0
Along system.,"Reach boy friend moment know language through. Collection seven where former identify. Rate another end trouble.
My note able research wrong indeed. North answer thousand.",91785,45892,137677,2025-04-19,2025-08-23,20.11236935279629,InProgress,PROFIT_MARGIN,True,0
And data.,"Maintain parent thing treat. That few direction less. Treat plan by similar.
Worry sign medical happen. Summer drop general record know. Want military election would call person training.",30258,15129,45387,2025-02-19,2025-04-02,66.56200161365928,Completed,CASH_FLOW,False,1
Risk determine society.,"Another out Mr much sport sign. Wonder economy source anyone. Garden political according either let physical.
Trial particularly record order. Interesting figure wife best trouble power.",81931,40965,122896,2025-03-04,2025-10-29,25.94587053004671,Completed,TAX_OPTIMIZATION,False,0
Need soldier last.,"Family process hope model near give agent test. Down garden nor north west.
Ability local brother range. Nature leg yet language. Deal of west small type.",96031,48015,144046,2023-06-15,2023-11-28,55.642710290109186,Completed,PROFIT_MARGIN,True,1
This.,"Water smile kitchen method. Career chair theory TV. Development knowledge would community play husband.
Officer population produce many full. Discover law television body candidate.",41392,20696,62088,2024-03-16,2025-11-06,22.46674720584454,Failed,EXPENSE_CONTROL,False,0
Quite north.,Happy art say why cover. Vote I customer another old majority of. Somebody she deal quickly item.,75769,37884,113653,2023-07-13,2026-03-03,21.794922641536395,Completed,DEBT_MANAGEMENT,False,0
Appear save myself.,Congress whatever recently dream group such modern candidate. Hour recent paper little. Hand consider create prevent set fire skill. Church office evidence indeed scene huge.,57020,28510,85530,2024-06-03,2025-03-31,16.64644397989593,Completed,TAX_OPTIMIZATION,True,0
Our.,Spend house street hit professional city gun. Offer talk off weight. Always fine bar article.,52881,26440,79321,2024-08-19,2024-11-16,25.556000499434496,InProgress,INVESTMENT,True,0
Whom cost method daughter.,"Join catch against although opportunity for art. Training business similar from change.
Option still food difficult simply investment tonight. Cost very student item someone road lot.",15190,7595,22785,2024-01-14,2024-02-29,67.23629545180225,Failed,COST_REDUCTION,False,0
