amount,days_to_due,category,project_status,status
1935.2465823520763,47,Freelance,Delayed,PAID
4758.500101408589,12,Services,Completed,PAID
3686.770314875885,16,Maintenance,Delayed,OVERDUE
3033.4265725654795,24,Consulting,Completed,PAID
864.4913381679389,19,Services,Delayed,PAID
864.373149647393,8,Maintenance,PENDING,PAID
384.6096996241774,31,Services,In Progress,PAID
4344.263114297182,21,Freelance,In Progress,PAID
3045.4635575417233,17,Freelance,PENDING,PAID
3569.555631200623,23,Freelance,PENDING,PAID
200.86402204943198,37,Other,Completed,PAID
4852.558275593772,54,Other,Completed,CANCELLED
4178.968939922066,16,Consulting,Completed,PAID
1140.4616423235532,6,Freelance,Delayed,OVERDUE
990.942339314793,8,Maintenance,Completed,PAID
998.6820982818257,25,Services,PENDING,PAID
1590.7869905017349,18,Products,In Progress,OVERDUE
2671.306514997965,25,Maintenance,Delayed,PAID
2216.530591346367,12,Other,Completed,OVERDUE
1527.0227869704054,15,Other,Delayed,OVERDUE
3098.0791841396594,59,Maintenance,Delayed,OVERDUE
783.519917195005,26,Other,Completed,OVERDUE
1531.5087778225688,41,Freelance,Delayed,OVERDUE
1895.1730321390894,45,Consulting,In Progress,PAID
2334.742922663476,26,Services,PENDING,PAID
3947.362210825767,47,Consulting,PENDING,OVERDUE
1078.4015325759628,32,Services,In Progress,OVERDUE
2619.748748226697,10,Services,Delayed,OVERDUE
3002.831387424008,16,Consulting,Completed,CANCELLED
327.60702232798883,7,Maintenance,Delayed,PAID
3076.969774317048,17,Services,In Progress,PAID
935.5682060677285,23,Consulting,Delayed,PAID
418.75280562786963,26,Services,PENDING,PAID
4749.539132541333,21,Products,Delayed,PAID
4831.59696206534,22,Maintenance,In Progress,CANCELLED
4061.1470057706597,58,Freelance,PENDING,OVERDUE
1592.6074689495163,7,Services,Delayed,PAID
578.593358631281,14,Products,Delayed,OVERDUE
3452.741829909569,15,Freelance,PENDING,OVERDUE
2256.7472193240465,53,Freelance,Completed,OVERDUE
697.9873507394162,7,Services,PENDING,OVERDUE
2526.366859545224,9,Consulting,Completed,PAID
268.50375346457014,51,Services,In Progress,PAID
4555.6699701860325,48,Products,In Progress,OVERDUE
1368.0219098400828,8,Freelance,PENDING,OVERDUE
3346.3591933345115,50,Services,PENDING,CANCELLED
1627.3842728381137,59,Consulting,In Progress,PAID
2648.3333037712728,23,Services,Completed,PAID
2778.8803687820705,29,Maintenance,In Progress,CANCELLED
1005.7868320750825,18,Consulting,PENDING,PAID
4850.9646760463365,31,Products,In Progress,CANCELLED
3898.150834469461,30,Freelance,PENDING,PAID
4703.544813664526,52,Services,PENDING,OVERDUE
4484.6540170954795,39,Consulting,In Progress,CANCELLED
3029.7098961743172,35,Maintenance,Completed,CANCELLED
4617.183751613273,18,Consulting,Delayed,PAID
533.6132600544056,59,Other,In Progress,OVERDUE
1060.3160258538114,42,Maintenance,Delayed,PAID
321.61371566163655,39,Products,In Progress,PAID
1694.1186207399953,17,Freelance,Delayed,OVERDUE
2004.518719478462,14,Products,Completed,OVERDUE
1429.61025569209,31,Services,Completed,CANCELLED
4160.813794844454,24,Consulting,In Progress,PAID
1848.0913007985876,35,Other,PENDING,PAID
1476.5790974681656,44,Maintenance,Delayed,PAID
2759.2108074754174,45,Maintenance,PENDING,OVERDUE
790.5287023763369,34,Consulting,PENDING,PAID
4030.7652056947945,3,Other,PENDING,OVERDUE
465.298154030877,37,Consulting,Completed,PAID
4935.745989342535,43,Services,In Progress,CANCELLED
3883.9993695536214,40,Products,In Progress,CANCELLED
1073.7068395174447,26,Maintenance,Completed,OVERDUE
127.05837390565176,55,Services,Completed,OVERDUE
4095.7609994286872,23,Products,In Progress,OVERDUE
3563.600984853324,44,Services,PENDING,OVERDUE
3672.135123400838,39,Other,Delayed,OVERDUE
3879.2246987611343,15,Maintenance,Delayed,PAID
462.81879349704275,56,Consulting,Delayed,PAID
1856.4820698669357,49,Consulting,PENDING,OVERDUE
667.7583916731356,4,Products,In Progress,PAID
4329.206786790408,29,Freelance,Completed,OVERDUE
3154.160821455034,22,Other,In Progress,OVERDUE
1721.400321777981,25,Products,PENDING,PAID
411.4359164015158,13,Freelance,Completed,OVERDUE
1623.8133764067447,18,Services,PENDING,PAID
1693.3982779310604,33,Other,Delayed,PAID
3675.0702738565137,16,Services,Delayed,OVERDUE
3224.0316096405445,45,Maintenance,PENDING,OVERDUE
4447.342438624,42,Other,Completed,OVERDUE
2413.8531332935518,44,Freelance,Completed,OVERDUE
686.0118050976783,2,Maintenance,In Progress,PAID
3594.8994573926757,55,Consulting,Delayed,CANCELLED
3827.8467382227973,35,Freelance,In Progress,OVERDUE
2850.2582680905316,42,Products,In Progress,OVERDUE
3877.7391817773487,34,Consulting,PENDING,OVERDUE
2519.5984221855147,30,Consulting,PENDING,CANCELLED
2661.390863971771,59,Products,In Progress,OVERDUE
2194.9509899568934,55,Other,Delayed,OVERDUE
224.5537210460664,13,Consulting,PENDING,PAID
628.6679922671918,13,Freelance,In Progress,PAID
254.00300986499784,18,Maintenance,In Progress,PAID
3218.411015192524,32,Consulting,In Progress,CANCELLED
1640.3443072740008,32,Freelance,In Progress,PAID
2591.9963867070437,35,Services,In Progress,OVERDUE
4547.075722237856,59,Freelance,In Progress,OVERDUE
1321.5319228294873,39,Maintenance,PENDING,CANCELLED
2110.8763228745856,46,Freelance,Delayed,CANCELLED
3802.2005788609385,52,Products,In Progress,OVERDUE
1221.11101090895,29,Maintenance,Completed,OVERDUE
477.20155816108564,49,Other,PENDING,PAID
1519.7821192774634,29,Services,PENDING,PAID
889.9843075446216,53,Products,In Progress,PAID
4655.518496478608,44,Other,PENDING,OVERDUE
4059.789859865643,57,Freelance,In Progress,CANCELLED
3203.678406901075,16,Maintenance,Delayed,CANCELLED
4370.156891919817,56,Services,Delayed,CANCELLED
4037.993176805661,44,Products,PENDING,CANCELLED
1014.1932885415756,47,Other,PENDING,OVERDUE
4473.539092600891,57,Other,Completed,CANCELLED
2742.7769853866885,10,Services,PENDING,OVERDUE
4056.4567603039063,30,Freelance,Completed,PAID
4490.847369625117,25,Services,Delayed,PAID
